lat,lon,alt,tol
47.518037003474056,12.453147691408763,2210,50
47.51838374563482,12.452573426216475,2210.0,50
47.51873048779556,12.451999157229098,2210.0,50
47.51907722995628,12.45142488444653,2210.0,50
47.51942397211699,12.45085060786867,2210.0,50
47.519770714277676,12.450276327495416,2210.0,50
47.52011745643835,12.44970204332677,2210.0,50
47.52046419859901,12.449127755362627,2210.0,50
47.520810940759645,12.448553463602885,2210.0,50
47.521157682920254,12.447979168047546,2210.0,50
47.521504425080856,12.447404868696507,2210.0,50
47.521846604863214,12.446838122219257,2247.5,112
47.52218878464554,12.446271372045437,2285.0,175
47.52253096442788,12.445704618174949,2322.5,238
47.52287314421018,12.445137860607687,2360.0,300
47.52321532399247,12.444571099343555,2397.5,362
47.523557503774725,12.444004334382548,2435.0,425
47.523899683556984,12.443437565724567,2472.5,488
47.52424186333921,12.44287079336961,2510.0,550
47.52453849742733,12.442189121361945,2530.0,550
47.52475946982749,12.441447119845526,2550.0,550
47.524899339501246,12.440663060141022,2570.0,550
47.524954662448884,12.439856249528184,2590.0,550
47.524924076503225,12.439046555660902,2610.0,550
47.52480833486063,12.438253917167982,2630.0,550
47.52461028752465,12.437497852507624,2650.0,550
47.524334811120085,12.436796979189067,2670.0,550
47.523988688806796,12.43616855521549,2690.0,550
47.52358044325069,12.435628054052692,2710.0,550
47.523186777936765,12.43510686041401,2731.4285714285716,550
47.52279311262288,12.434585670686443,2752.857142857143,550
47.522399447308985,12.434064484869891,2774.2857142857147,550
47.52200578199512,12.43354330296425,2795.7142857142862,550
47.52161211668128,12.43302212496952,2817.142857142858,550
47.521218451367446,12.4325009508855,2838.5714285714294,550
47.52082478605362,12.431979780712187,2860.000000000001,550
47.520431120739815,12.43145861444948,2881.4285714285725,550
47.52003745542603,12.430937452097279,2902.857142857144,550
47.51964379011226,12.430416293655481,2924.2857142857156,550
47.51925012479851,12.429895139124085,2945.714285714287,550
47.518856459484766,12.42937398850299,2967.1428571428587,550
47.518462794171036,12.428852841792095,2988.5714285714303,550
47.518069128857334,12.428331698991297,3010.000000000002,550
47.51760881237219,12.42789247467789,3030.000000000002,550
47.51710775939888,12.427565283980588,3050.000000000002,550
47.516578307418726,12.427358181315613,3070.000000000002,550
47.51603349317042,12.427276263787071,3090.000000000002,550
47.51548673165116,12.427321545854284,3110.000000000002,550
47.51495148580495,12.427492909920815,3130.000000000002,550
47.51444093503039,12.427786134043677,3150.000000000002,550
47.51396765066955,12.428193996060513,3170.000000000002,550
47.51354328646724,12.428706451555321,3190.000000000002,550
47.51317829162231,12.429310881267337,3210.000000000002,550
47.51282242168721,12.429900196240125,3210.000000000002,550
47.512466551752134,12.43048950721671,3210.000000000002,550
47.51211068181708,12.431078814197091,3210.000000000002,550
47.511754811882035,12.431668117181376,3210.000000000002,550
47.511398941947014,12.43225741616956,3210.000000000002,550
47.511043072012015,12.432846711161845,3210.000000000002,550
47.51068720207704,12.433436002158237,3210.000000000002,550
47.51033133214209,12.434025289158834,3210.000000000002,550
47.50997546220715,12.434614572163635,3210.000000000002,550
47.50961959227222,12.435203851172847,3210.000000000002,550
47.50926372233732,12.435793126186468,3210.000000000002,550
47.508907852402444,12.436382397204598,3210.000000000002,550
47.50855198246758,12.43697166422724,3210.000000000002,550
47.50819611253273,12.437560927254596,3210.000000000002,550
47.507840242597894,12.438150186286668,3210.000000000002,550
47.50748437266308,12.438739441323555,3210.000000000002,550
47.50712850272829,12.43932869236536,3210.000000000002,550
47.50677263279351,12.439917939412084,3210.000000000002,550
47.50641676285875,12.440507182463826,3210.000000000002,550
47.50606089292402,12.44109642152069,3210.000000000002,550
