lat,lon,alt,tol
47.258836294043626,11.331221906673727,1915,80
47.258918157741164,11.33197888894406,1915.0,80
47.259000021438695,11.332735872384836,1915.0,80
47.259081885136226,11.333492856995955,1915.0,80
47.25916374883374,11.334249842777517,1915.0,80
47.259245612531245,11.335006829729524,1915.0,80
47.259327476228755,11.335763817851975,1915.0,80
47.25940933992626,11.336520807144767,1915.0,80
47.25949120362375,11.337277797608005,1915.0,80
47.25957306732123,11.338034789241688,1915.0,80
47.2596549310187,11.338791782045814,1915.0,80
47.259735717594616,11.3395388155582,1952.5,142
47.25981650417053,11.340285850210396,1990.0,205
47.259897290746444,11.341032886002504,2027.5,268
47.25997807732234,11.34177992293442,2065.0,330
47.26005886389824,11.342526961006246,2102.5,392
47.26013965047413,11.343274000217983,2140.0,455
47.26022043705001,11.34402104056953,2177.5,518
47.26030122362589,11.344768082060988,2215.0,580
47.26039211177908,11.34556378927876,2235.0,580
47.26048770898922,11.346358298927111,2255.0,580
47.26058800797638,11.347151550567158,2275.0,580
47.26069300110261,11.347943483855076,2295.0,580
47.26080268037246,11.34873403854658,2315.0,580
47.26091703743365,11.34952315450191,2335.0,580
47.26103606357759,11.3503107716898,2355.0,580
47.261159749740195,11.35109683019257,2375.0,580
47.26128808650247,11.351881270210297,2395.0,580
47.26142106409122,11.352664032065391,2415.0,580
47.26142106409122,11.352664032065391,2415.0,0
47.522435,12.445863,2410,0
47.522435,12.445863,2410,250
47.52205506436842,12.44649239077441,2410.0,250
47.52167512873686,12.44712177699066,2410.0,250
47.521295193105324,12.447751158648893,2410.0,250
47.520915257473796,12.448380535749216,2410.0,250
47.520535321842296,12.449009908291625,2410.0,250
47.520155386210824,12.449639276276324,2410.0,250
47.519775450579374,12.450268639703314,2410.0,250
47.51939551494795,12.450897998572799,2410.0,250
47.51901557931656,12.451527352884778,2410.0,250
47.51863564368517,12.452156702639352,2410.0,250
47.51825570805382,12.452786047836623,2410.0,250
