lat,lon,alt,tol
47.522653973556466,12.445500247778854,2210,50
47.522307263086,12.44607460166638,2210.0,50
47.52196055261556,12.446648951758105,2210.0,50
47.52161384214512,12.447223298054029,2210.0,50
47.521267131674705,12.447797640554253,2210.0,50
47.52092042120431,12.44837197925888,2210.0,50
47.52057371073393,12.448946314167909,2210.0,50
47.52022700026358,12.449520645281543,2210.0,50
47.51988028979323,12.450094972599784,2210.0,50
47.5195335793229,12.450669296122632,2210.0,50
47.5191868688526,12.451243615850288,2210.0,50
